trip_id,start_date,delay,day_of_week,time_stamp,stop_sequence,stop_id
597672443,"May 27, 2023",156,Saturday,10:55:07,1,10912
597672453,"May 27, 2023",117,Saturday,10:55:13,403,64630
556198623,"May 27, 2023",123,Saturday,10:55:19,238,28470
556199153,"May 27, 2023",342,Saturday,10:55:11,149,6070
605370413,"May 27, 2023",693,Saturday,10:55:00,153,4020
605370633,"May 27, 2023",238,Saturday,10:55:04,47,12805
608720353,"May 27, 2023",296,Saturday,10:55:04,242,9612
608720363,"May 27, 2023",41,Saturday,10:55:03,51,31380
608720653,"May 27, 2023",142,Saturday,10:55:02,122,26450
535513953,"May 27, 2023",456,Saturday,10:55:02,214,13800
535513963,"May 27, 2023",120,Saturday,10:55:09,45,11357
599436763,"May 27, 2023",875,Saturday,10:55:11,256,25201
599436773,"May 27, 2023",208,Saturday,10:55:19,141,18250
548882033,"May 27, 2023",351,Saturday,10:55:11,62,19440
599434023,"May 27, 2023",64,Saturday,10:55:11,10,31547
541500293,"May 27, 2023",24,Saturday,10:55:13,148,89990
541500683,"May 27, 2023",108,Saturday,10:55:10,233,74980
541499793,"May 27, 2023",412,Saturday,10:55:10,104,16890
541500103,"May 27, 2023",8,Saturday,10:55:14,106,17800
583734373,"May 27, 2023",-31,Saturday,10:55:09,1,35318
583734513,"May 27, 2023",144,Saturday,10:55:16,20,16160
571958693,"May 27, 2023",24,Saturday,10:55:19,45,39250
541502213,"May 27, 2023",-55,Saturday,10:55:18,182,77630
573162713,"May 27, 2023",-118,Saturday,10:55:10,120,81321
562555643,"May 27, 2023",603,Saturday,10:55:04,142,3600
562555653,"May 27, 2023",250,Saturday,10:55:19,113,3550
562555673,"May 27, 2023",86,Saturday,10:55:02,35,30360
571605573,"May 27, 2023",560,Saturday,10:55:15,102,3820
571605583,"May 27, 2023",-116,Saturday,10:55:11,97,3810
571605593,"May 27, 2023",65,Saturday,10:55:11,31,1471
609381793,"May 27, 2023",136,Saturday,10:53:47,216,38620
609382363,"May 27, 2023",43,Saturday,10:55:12,1,9587
609382933,"May 27, 2023",30,Saturday,10:55:14,84,23905
609383123,"May 27, 2023",257,Saturday,10:55:05,114,75410
605369753,"May 27, 2023",313,Saturday,10:55:14,27,12900
608619223,"May 27, 2023",168,Saturday,10:55:11,1,12485
608619433,"May 27, 2023",275,Saturday,10:55:07,176,558
562569503,"May 27, 2023",499,Saturday,10:55:17,150,29236
562569513,"May 27, 2023",86,Saturday,10:55:11,42,9587
562569533,"May 27, 2023",195,Saturday,10:55:00,1,18085
562569643,"May 27, 2023",127,Saturday,10:55:13,107,29582
562570523,"May 27, 2023",54,Saturday,10:55:18,152,29630
585471823,"May 27, 2023",206,Saturday,10:55:18,82,17070
585471843,"May 27, 2023",345,Saturday,10:55:14,16,29130
585472023,"May 27, 2023",1269,Saturday,10:55:06,329,37081
585472573,"May 27, 2023",12,Saturday,10:55:12,295,5440
585473003,"May 27, 2023",87,Saturday,10:55:15,28,35570
585473873,"May 27, 2023",-144,Saturday,10:55:09,186,36931
572992613,"May 27, 2023",370,Saturday,10:55:03,230,11358
572993033,"May 27, 2023",-348,Saturday,10:54:52,171,12640
572993153,"May 27, 2023",-45,Saturday,10:55:09,65,29245
572993173,"May 27, 2023",-78,Saturday,10:55:18,68,12550
572993213,"May 27, 2023",-144,Saturday,10:55:14,161,29361
572993363,"May 27, 2023",1269,Saturday,10:55:05,230,11358
552383403,"May 27, 2023",479,Saturday,10:55:09,233,5930
552383613,"May 27, 2023",274,Saturday,10:55:06,88,5560
608814873,"May 27, 2023",186,Saturday,10:55:05,43,590
608815153,"May 27, 2023",235,Saturday,10:55:19,351,6685
605245873,"May 27, 2023",219,Saturday,10:55:15,72,31990
605245883,"May 27, 2023",227,Saturday,10:55:05,108,34730
605245903,"May 27, 2023",33,Saturday,10:55:19,345,36700
605245913,"May 27, 2023",-47,Saturday,10:55:13,468,22830
605246273,"May 27, 2023",971,Saturday,10:55:01,558,45630
561770383,"May 27, 2023",-182,Saturday,10:55:00,89,76720
561770853,"May 27, 2023",-145,Saturday,10:55:03,256,76900
597719563,"May 27, 2023",-165,Saturday,10:55:15,332,76630
597719573,"May 27, 2023",48,Saturday,10:55:19,1,76305
597719583,"May 27, 2023",141,Saturday,10:55:04,1,75995
597720053,"May 27, 2023",271,Saturday,10:55:12,590,76700
597720123,"May 27, 2023",225,Saturday,10:55:04,433,76360
353312483,"May 27, 2023",31,Saturday,10:55:09,485,905
353312503,"May 27, 2023",-132,Saturday,10:55:13,481,73757
353312513,"May 27, 2023",289,Saturday,10:55:01,34,660
353312563,"May 27, 2023",77,Saturday,10:55:18,1,81755
561761073,"May 27, 2023",82,Saturday,10:55:17,344,68020
561761443,"May 27, 2023",-294,Saturday,10:55:08,212,64065
561762013,"May 27, 2023",-280,Saturday,10:55:13,226,64140
561762863,"May 27, 2023",74,Saturday,10:55:11,1,1215
561762873,"May 27, 2023",-198,Saturday,10:51:42,406,670
561763323,"May 27, 2023",108,Saturday,10:55:19,21,67652
561759683,"May 27, 2023",11,Saturday,10:55:12,1,64561
561759923,"May 27, 2023",320,Saturday,10:55:13,372,64590
561760233,"May 27, 2023",-44,Saturday,10:55:09,391,64140
561760633,"May 27, 2023",75,Saturday,10:55:04,24,375
474185143,"May 27, 2023",-5,Saturday,10:55:05,98,3740
474185153,"May 27, 2023",63,Saturday,10:55:03,257,41850
474185163,"May 27, 2023",439,Saturday,10:55:01,300,21141
474185173,"May 27, 2023",36,Saturday,10:55:17,16,31736
556202653,"May 27, 2023",240,Saturday,10:55:17,230,17530
556202663,"May 27, 2023",394,Saturday,10:55:14,103,18550
572988593,"May 27, 2023",542,Saturday,10:55:10,333,18359
572988603,"May 27, 2023",504,Saturday,10:55:15,252,7350
572988613,"May 27, 2023",119,Saturday,10:55:09,202,17209
572988623,"May 27, 2023",141,Saturday,10:55:03,24,37849
534530963,"May 27, 2023",-118,Saturday,10:55:04,109,25090
534531233,"May 27, 2023",373,Saturday,10:55:01,32,29240
534532153,"May 27, 2023",39,Saturday,10:55:19,24,38060
534532403,"May 27, 2023",334,Saturday,10:55:03,150,25940
534531533,"May 27, 2023",200,Saturday,10:55:17,70,23420
534531883,"May 27, 2023",116,Saturday,10:51:26,290,35317
534531893,"May 27, 2023",262,Saturday,10:55:19,31,25210
534532853,"May 27, 2023",-12,Saturday,10:54:35,203,23561
534533223,"May 27, 2023",244,Saturday,10:55:07,1,35317
562556873,"May 27, 2023",811,Saturday,10:55:04,206,8530
562556883,"May 27, 2023",292,Saturday,10:55:01,206,8530
562556893,"May 27, 2023",303,Saturday,10:55:13,81,8210
562556903,"May 27, 2023",73,Saturday,10:55:04,36,8080
562557633,"May 27, 2023",-280,Saturday,10:55:16,171,8840
562557663,"May 27, 2023",437,Saturday,10:55:18,1,880
562561523,"May 27, 2023",271,Saturday,10:55:15,49,880
608610863,"May 27, 2023",-39,Saturday,10:54:42,125,9580
608610873,"May 27, 2023",127,Saturday,10:55:18,16,558
608611173,"May 27, 2023",412,Saturday,10:55:11,139,480
608611183,"May 27, 2023",299,Saturday,10:55:03,77,10180
608611193,"May 27, 2023",257,Saturday,10:55:19,11,10914
